id,url,title,subtitle,content,datetime,views,tags,topic
1913590918,https://ria.ru/20231204/solomin-1913590918.html,Директор Малого театра рассказала о состоянии Юрия Соломина ,Директор Малого театра: в состоянии Юрия Соломина отсутствуют изменения,"МОСКВА, 4 дек - РИА Новости. Худрук Малого театра, народный артист СССР Юрий Соломин продолжает лечение в больнице, в его состоянии здоровья нет никаких изменений, сообщила РИА Новости директор театра Тамара Михайлова.  Соломин был госпитализирован с инсультом 6 ноября. 21 ноября Михайлова сообщила, что его перевели из реанимации в обычную палату отделения неврологии.  ""По поводу выписки пока ничего не могу сказать. Чувствует он себя, как и чувствовал. Новостей пока ни хороших, ни плохих нет"", - сказала собеседница агентства.  Юрий Соломин родился 18 июня 1935 года в Чите. С 1961 года преподает в высшем театральном училище имени Щепкина, профессор кафедры актерского мастерства. В качестве режиссера Соломин работает в Малом театре и на телевидении. Сыграл почти в 60 фильмах и сериалах.",12:09 04.12.2023,864,"['Культура', 'Юрий Соломин', 'Малый театр']",culture
1913517303,https://ria.ru/20231204/film_tescha-1913517303.html,"Фильм ""Теща"" с Гузеевой возглавил кинопрокат в России и СНГ за выходные","Российский фильм ""Теща"" с Гузеевой возглавил кинопрокат в России и СНГ за уикенд","МОСКВА, 4 дек - РИА Новости. Российский фильм ""Теща"" с Ларисой Гузеевой в главной роли возглавил кинопрокат со сборами в 213 миллионов рублей в РФ и СНГ за прошедшие выходные, сообщил портал kinobusiness.com.  Вторую строчку занял фильм ""По щучьему велению"" по мотивам народной сказки с актером Никитой Кологривым в главной роли со сборами в 75,7 миллиона рублей.  Следующей в рейтинге идет российская комедия ""Хоккейные папы"" со сборами в 39,3 миллиона рублей. В главных ролях - Алексей Бардуков и Аня Чиповская.  На четвертой строчке - мультфильм ""Заветное желание"", которому в странах СНГ без России и Белоруссии удалось собрать 21 миллион рублей.  Замыкает список военно-историческая драма ""Наполеон"", собравшая 18,3 миллиона рублей в странах СНГ без России и Белоруссии. В главных ролях - Хоакин Феникс и Ванесса Кирби.",00:41 04.12.2023,3371,"['Культура', 'Лариса Гузеева', 'Анна Чиповская', 'Хоакин Феникс', 'Белоруссия', 'Россия', 'СНГ']",culture
1913513311,https://ria.ru/20231203/sokurov-1913513311.html,"Сокуров заявил, что в нынешних условиях ему будет сложно работать","Режиссер Сокуров заявил, что в нынешних условиях ему будет сложно работать","МОСКВА, 3 дек — РИА Новости. Режиссер Александр Сокуров, комментируя сообщения о завершении карьеры в кино, заявил РИА Новости, что в нынешних условиях ему будет сложно работать.  «""Я могу сказать только одно, что мне заканчивают мою карьеру. Для меня такие условия, что мне будет очень сложно дальше жить, работать и так далее. Вот и все, что я могу сказать"", — сказал он. Ранее сегодня портал News.ru сообщил, что Сокуров завершает карьеру. Режиссер рассказал, что больше не работает над новыми проектами. Министерство культуры ранее отказало в выдаче прокатного удостоверения его фильму ""Сказка"". Сокуров назвал это решение несправедливым и неправомерным. Показ кинокартины также отменили на закрытии фестиваля ""Каро.Арт"" 15 октября.  ""Сказка"" — фильм российско-бельгийского производства, который в фантастическом ключе повествует о событиях Второй мировой войны. В нем поднимаются вопросы, связанные с ролью личности в истории и ответственностью политических лидеров перед согражданами. Картина представляет сконструированные на основе кадров кинохроники с использованием технических средств анимации образы Иосифа Сталина, Уинстона Черчилля, Адольфа Гитлера, Бенито Муссолини и Наполеона Бонапарта.  Мировая премьера фильма состоялась на кинофестивале в швейцарском Локарно в августе прошлого года. В России его представили минувшим летом на I Международном кинофестивале ""Пример интонации"" в Санкт-Петербурге и на фестивале молодого кино Voices в Вологде.",23:19 03.12.2023,8869,"['Культура', 'Локарно', 'Россия', 'Санкт-Петербург', 'Александр Сокуров', 'Иосиф Сталин (Джугашвили)', 'Уинстон Черчилль']",culture
1913397353,https://ria.ru/20231203/torgi-1913397353.html,Российский аукционный холдинг - аналог Christie's проведет первые торги,Российский аукционный холдинг - аналог Christie's проведет торги 3 декабря,"МОСКВА, 3 дек - РИА Новости. Российский аукционный холдинг, в который вошли Московский аукционный дом, Аукционный дом Клуба коллекционеров графики и Петербургский аукционный дом, 3 декабря проведут первые торги из 83 лотов музейного уровня на предварительную сумму в полмиллиарда рублей, сообщили РИА Новости в пресс-службе аукциона.  Он станет первым по уровню и тематически сопоставимым с отмененными ""русскими торгами "" Christie's и Sotheby's.  По мнению сообщества, заменить ушедшие международные аукционы может институция с уровнем экспертизы, которым сейчас по отдельности не обладает ни один игрок рынка. Торги 3 декабря станут еще и громким заявлением о создании организации такого уровня — первого в России аукционного холдинга.  На торги выставят картину ""Корабль в море на фоне гор"" 1891 года Ивана Айвазовского за 55 миллионов рублей.  Также на аукционе представят серию пейзажей, в числе которых ""Виллы"" Бориса Кустодиева за 70 миллионов рублей, ""Летний пейзаж"" Ивана Шишкина за 23 миллиона рублей, ""Пейзаж осень"" Петра Кончаловского за 14 миллионов рублей и ""Гималаи"" Николая Рериха за 4 миллиона рублей.  Кроме того, в каталог вошла зарисовка Виктора Васнецова ""Седой воин"" за 2,2 миллиона рублей к программной картине из фонда Русского музея.  Соучредитель Московского аукционного дома и управляющий партнер холдинга Федор Светлаков считает, что выйти на иной уровень возможно только кардинально пересмотрев устоявшийся подход — в части управления, команды, продаж, клиентского сервиса, формирования коллекции, результата.  В свою очередь основатель холдинга и Московского аукционного дома Александр Попов напомнил, что с марта 2022 года мировые аукционные дома отказались от проведения ""русских торгов"", основной аудиторией которых были российские коллекционеры. По его мнению, это активизировало внутренний рынок, однако систематические аукционы того уровня и формата, к которому коллекционеров ""приучили"" в Лондоне, будут проводиться в России впервые.  Торги пройдут в историческом особняке Ф.С. Коробова в Москве 3 декабря.",00:23 03.12.2023,1164,"['Культура', 'Россия', 'Москва', ""Sotheby's"", 'Культура', 'Общество']",culture
1913152248,https://ria.ru/20231202/filmy-1913152248.html,Захватывающее зрелище: какое авторское кино смотреть и почему,"На втором фестивале авторского кино ""Зимний"" в Москве представят восемь картин","МОСКВА, 2 дек — РИА Новости, Анастасия Силкина. Год назад организаторы фестиваля ""Зимний"" задались целью вернуть интерес к российскому авторскому кино. На этот раз в конкурсе — восемь картин, снятых как в столицах, так и в регионах: на Урале, в Якутии и Калмыкии. О самых интересных проектах — в материале РИА Новости. В названии первого фильма конкурсной программы — калмыцкое пожелание, которое произносят перед дорогой или важным делом. Успешный рэпер Алдар спустя десять лет должен вернуться домой из большого города, чтобы отыскать мать, пропавшую в степи. Им предстоит вновь обрести друг друга и вместе пройти путь, который не успели при ее жизни. Главную роль в ленте сыграл настоящий представитель хип-хоп-сцены — Тимур Бубеев, известный как Everthe8. Идея мистической драмы о малой родине, Калмыкии, пришла сценаристу и режиссеру Элле Манжеевой еще в 2013-м. «""Такая непозволительная роскошь в наше время — создавать новые шаманские мифы. Какая-то борьба памяти Великой степи с секулярным миром. У всех есть своя песня, у всех есть свои боги и духи, свои эпосы, предки, чистые земли — забытые!"" — говорит режиссер. В последние годы появился спрос на региональное кино, отметила продюсер ленты Елена Гликман. «""Наша картина интересна не только захватывающим и напряженным сюжетом, но и уникальными местами съемок: соляное озеро Баскунчак, священная гора Богдо, бескрайние степи Калмыкии. А кроме того, популярный московский клуб ""Мутабор"", где концерт исполнителей украшен роскошным световым шоу от ""Радуга-дизайн"". Это захватывающее и магическое зрелище"", — рассказала она. Якутские режиссеры вдохновились победой фильма ""Айта"" Степана Бурнашева на прошлогоднем ""Зимнем"". На этот раз регион представлен первым полным метром блогера Николая Корякина (Айдын Ате). Тимир после смерти матери вынужден переехать к отцу в деревню. Но отношения с родней и новыми одноклассниками не заладились. Однажды герой встречает таинственного незнакомца — духа, застрявшего между двумя мирами. Режиссер признается, что в своем драмеди многое заимствовал из аниме, его вдохновляли Хаяо Миядзаки и Уэс Андерсон. «""То, что я не ходил в детский сад и целый день смотрел ""Тома и Джерри"" на кассете, тоже отразилось в фильме, — добавил Николай Корякин. — В целом фильм состоит из массовой культуры, и я думаю, что это поможет зрителю за пределами республики, за пределами страны окунуться в наш созданный мир детства главного героя Тимира"". Жанна возвращается из столицы, узнав, что отец при смерти. С ним она не общалась 20 лет после того, как он бросил семью. Девушка не успевает застать его живым и готовится организовать похороны. Но неожиданно труп отца оживает и требует провести последний день вместе. С режиссером Александрой Лупашко над трагикомедией работали Александра Бортич (Жанна), Павел Майков (отец), Анна Михалкова, Данил Стеклов и другие. «""Это фильм о любви. Все настоящее искусство говорит о любви. И о страхе. Если это не о любви, тогда это плохое кино, — считает Павел Майков. — А еще этот фильм о человеческих взаимоотношениях, о взаимопонимании, о невозможности понять друг друга, о том, что близкие люди редко рождаются под одной крышей"". Драма Романа Михайлова отражает разные аспекты покерной жизни: и подпольное казино, и исследовательские лаборатории, и игровая зависимость. Но центральная тема — взаимоотношения отцов и детей. Студент юрфака Олег должен повидаться с отцом, который вышел на свободу. Родитель не интересуется ничем, кроме покера, и вскоре приводит сына в покерный штаб. Новая экранизация повести Галины Щербаковой ""Вам и не снилось"". Вера живет исключительно проблемами семьи: выхаживает вечно болеющего мужа Костю и, словно наседка, вьется над 15-летним сыном Ромкой. Все рушится в один момент, когда их новой соседкой оказывается Людмила — первая Костина любовь. Ромка влюбляется в ее дочь Юлю. Теперь Вера всерьез думает о разводе и размене квартиры, а также пытается вынудить сына отдалиться от девушки. В драме Иры Волковой снялись Виктория Толстоганова, Алексей Розин, Ольга Сутулова, Ольга Лапшина и другие. Героиня Елизаветы Боярской — сильная женщина, адвокат. Одна растит дочь-старшеклассницу, которой пытается дать достаточно свободы, при этом оберегая от опасностей. Но трагедия в школе — суицид одноклассницы — открывает глаза на то, что она далеко не все знает о своем ребенке, а кроме того, сама нуждается в любви и понимании. «""В большей степени родители заняты собой и не знают, что по-настоящему чувствует ребенок, — пояснила Елизавета Боярская. — И когда сталкиваются с критической ситуацией, вскрываются эти лакуны нужных разговоров, объятий, внимания. Моя героиня и героиня Полины Цыгановой через неприятие, конфликт и страшную беду приходят к тому, чтобы в таком взрослом возрасте разглядеть друг друга"". Фильм стал игровым дебютом режиссера Ильи Михеева. «""Это очень чуткий, внимательный, подробный режиссер. Я убеждена, что у него большое будущее"", — подчеркнула Елизавета Боярская. Самый титулованный участник нынешнего конкурса, Иван И. Твердовский, представит драму ""Панические атаки"". Вика страдает нервным расстройством. В родном городе это связывают с экологией или проклятием, но, попадая в другую страну, она совершает преступление, найти причины которого очень непросто. В фильме сыграли Елена Тронина, Сергей Двойников, Дарья Савельева, Светлана Камынина и другие. Преподаватель античной литературы Андрей становится случайным свидетелем ограбления банка. Герою предстоит узнать, что в современном мире нельзя просто стоять и смотреть. Его законы сродни квантовой физике, когда наблюдающий влияет на наблюдаемое: ""Смотришь — значит участвуешь"". В съемках криминальной драмы Евгения Григорьева на базе Свердловской киностудии приняли участие Егор Корешков, Павел Деревянко, Владимир Битоков и Надежда Михалкова. Показы фестиваля ""Зимний"" проходят с 1 по 7 декабря в кинотеатре ""Художественный"" в Москве.",08:00 02.12.2023,2771,"['Культура', 'Кино и сериалы', 'Елизавета Боярская', 'Павел Майков', 'Элла Манжеева', 'Свердловская киностудия', 'Москва']",culture
1913285733,https://ria.ru/20231201/gergiev-1913285733.html,"Хабенский заявил, что рад за Гергиева, возглавившего Большой театр","Хабенский заявил журналистам, что рад за Гергиева, возглавившего Большой театр","МОСКВА, 1 дек – РИА Новости. Художественный руководитель Московского художественного театра имени А.П.Чехова Константин Хабенский сообщил, что безусловно очень рад за Валерия Гергиева, который возглавил Большой театр.  Ранее в пятницу кабмин РФ сообщил, что Валерий Гергиев назначен генеральным директором Большого театра сроком на пять лет. Владимир Урин освобожден от этой должности по собственному желанию.  ""Я, безусловно, за него очень рад"", - ответил Хабенский журналистам.",23:41 01.12.2023,5061,"['Культура', 'Большой театр', 'Константин Хабенский', 'Россия', 'Валерий Гергиев', 'Владимир Урин']",culture
1913283425,https://ria.ru/20231201/gergiev-1913283425.html,В Кремле отметили заслуги Гергиева перед Мариинским театром,Новиков: Гергиев давно решил кадровую проблему в Мариинском театре,"МОСКВА, 1 дек – РИА Новости. Валерий Гергиев, который возглавил Большой театр, давно решил кадровую проблему в Мариинском театре, где была открыта Академия молодых певцов, заявил журналистам начальник управления президента России по общественным проектам Сергей Новиков.  В пятницу правительство РФ сообщила, что Гергиев назначен генеральным директором Большого театра на пять лет. Владимир Урин освобожден от этой должности по собственному желанию.  ""Валерий Гергиев сегодня назначен директором Большого театра. Он давно решил свою кадровую проблему. Они поняли в Мариинском театре, что их никто не спасет, создали Академию молодых певцов, и люди приходят туда обучаться"", – отметил Новиков.  По его словам, обучающиеся в академии сначала поют в ансамбле, но уже на сцене Мариинского театра вместе с мастерами участвуют в спектаклях, а затем уже делают сольную карьеру.",23:13 01.12.2023,948,"['Культура', 'Валерий Гергиев', 'Россия', 'Сергей Новиков', 'Владимир Урин', 'Большой театр', 'Мариинский театр']",culture
1913279474,https://ria.ru/20231201/premiya-1913279474.html,В Москве наградили лауреатов национальной премии Russian Creative Awards,В Москве наградили лауреатов национальной премии в сфере креативных индустрий,"МОСКВА, 1 дек — РИА Новости. Торжественная церемония награждения лауреатов Российской национальной премии в сфере креативных индустрий (Russian Creative Awards) прошла в ""Зарядье"", одним из победителей стал проект ""Москва — город кино"".  ""В прошлом году мы получили приз за проект ""Московская неделя моды"", и это превратилось из модного события в целое течение. ...Сегодня мы получили награду за создание проекта ""Москино"". ...Спасибо большое!"" - сказал мэр столицы Сергей Собянин в ходе церемонии.  По его словам, та территория, которую сейчас развивают в Красной Пахре, намного больше Голливуда и Болливуда. Там 300 гектаров креативного пространства с разными эпохами, добавил он. ""Москва, как территория - это город кино. Мы подумали, что это действительно так. На улицах Москвы должно сниматься кино, это естественное продолжение нашего города"", - подчеркнул мэр.  Он выразил надежду, что идея Москвы, как и с неделей моды, даст толчок к развитию индустрии кино в России.  ""Чтобы на наши экраны выходили каждую неделю премьеры, в нашем телевизоре, когда мы включали, то мы смотрели не голливудские фильмы, а наши российские фильмы, наших замечательных актеров. Для этого нужна индустрия, и я уверен, что у нас этот проект получится. Спасибо большое"", - заключил Собянин.  Помощник президента России Максим Орешкин сказал, что значимость отечественной креативной индустрии очень хорошо оценили за последний год, когда с рынка ушли многие конкуренты. И российская креативная индустрия заняла эти ниши ""с большим успехом"".  Победителей выбирали в десяти категориях: ""Социальный проект"", ""Детский проект"", ""Регион года"", ""Просветительский проект"", ""Креативное событие"", ""Человек года"", ""Новые формы"", ""Цифровой проект"", ""Культурный код"", ""Проект в области развития территории"". За награду в одной категории, например, ""Детский проект"", могут побороться разные работы: и сериал, и книга, и анимационный проект, и выставка.  Первая церемония вручения Российской национальной премии в сфере креативных индустрий состоялась в 2021 году. Москва стала обладателем награды в номинации ""Креативный регион года"". В 2022 году Московская неделя моды победила в номинации ""Событие года"".  Russian Creative Awards — премия, объединяющая все существующие креативные индустрии.",22:32 01.12.2023,639,"['Культура', 'Москва', 'Россия', 'Зарядье', 'Сергей Собянин', 'Москино', 'Максим Орешкин', 'Общество']",culture
1913257360,https://ria.ru/20231201/teatr-1913257360.html,"Большому театру повезло с новым гендиректором, заявил Миронов","Миронов: Большому театру повезло, что его новым гендиректором стал Гергиев","МОСКВА, 1 дек - РИА Новости. Большому театру повезло, что его новым гендиректором стал Валерий Гергиев, дирижер справится с этим вызовом, заявил РИА Новости лидер партии ""Справедливая Россия - За Правду"" Сергей Миронов.  Ранее в пятницу кабмин РФ сообщил, что Гергиев назначен генеральным директором Большого театра сроком на пять лет. Владимир Урин освобожден от этой должности по собственному желанию.  ""С радостью узнал о назначении Валерия Гергиева руководителем крупнейшего в России и всемирно известного театра. Стать во главе Большого – это, безусловно, вызов для Валерия Абисаловича. Но я абсолютно убежден, что он с ним справится"", - сказал Миронов.  Он отметил, что Гергиев – крупнейший дирижер современности, выдающийся музыкант и организатор, который своим многолетним трудом заслужил это назначение. ""Хорошо знаю, какие физические и душевные силы он отдал Мариинскому театру, сделал все возможное для того, чтобы театр выстоял в годы безвременья, сохранил и приумножил многолетнюю славу и традиции. Под его руководством Мариинка стала современным театром, интересным молодому поколению ценителей высокого искусства"", - подчеркнул Миронов.  Он отметил, что, без сомнения, Большому театру повезло, Гергиев – человек огромной энергии и таланта, под руководством которого театр сделает немало шагов в своем развитии. ""Желаю Валерию Абисаловичу и всему коллективу Большого вдохновения, творческих идей и их успешного воплощения во славу русского искусства"", - сказал Миронов.",18:58 01.12.2023,9778,"['Культура', 'Россия', 'Сергей Миронов', 'Валерий Гергиев', 'Владимир Урин', 'Мариинский театр', 'Большой театр']",culture
1913228482,https://ria.ru/20231201/boyarskiy-1913228482.html,Сын Боярского рассказал о состоянии отца,"Сын Боярского рассказал, что его отец уже хочет курить, но врачи запрещают","С.-ПЕТЕРБУРГ, 1 дек - РИА Новости. Народный артист РСФСР Михаил Боярский, который остается в больнице после перенесенного инфаркта, уже хочет курить, но врачи пока не разрешают, сообщил сын артиста Сергей Боярский.  Во вторник Боярский-младший сообщал РИА Новости, что его отец перенес инфаркт, но уже чувствует себя хорошо и находится в обычной палате. Супруга Михаила Боярского, худрук Театра имени Ленсовета актриса Лариса Луппиан сообщала агентству, что госпитализация ее мужа была плановой и с ним все в порядке.  ""Папа находится в Мариинской больнице... Сейчас он уже в обыкновенной палате, очень хочет вернуться домой и хочет курить, а это признак того, что идет на поправку"", - сказал Сергей Боярский журналистам. По его словам, пока медики не разрешают Боярскому вернуться к курению, и покурить тайком ему не удается.  Сын артиста добавил также, что врачи могут определиться со сроками выписки Михаила Боярского на следующей неделе. ""Я думаю, что если все будет нормально, то в какой-то обозримой перспективе. Может быть, на следующей неделе врачи скажут что-то более определенное"", - сказал он, отвечая на соответствующий вопрос.",16:57 01.12.2023,12420,"['Культура', 'Михаил Боярский', 'Новости культуры', 'Здоровье - Общество', 'Санкт-Петербург']",culture
